pdb_id	file	total_sasa_A2
1fmo	/home/op98/protein_design/dataset/PP/PP2/1fmo.ent.pdb	16668.78
1fqj	/home/op98/protein_design/dataset/PP/PP2/1fqj.ent.pdb	42029.17
1fsk	/home/op98/protein_design/dataset/PP/PP2/1fsk.ent.pdb	105545.94
1fy8	/home/op98/protein_design/dataset/PP/PP2/1fy8.ent.pdb	13240.64
1g0v	/home/op98/protein_design/dataset/PP/PP2/1g0v.ent.pdb	14419.36
1g5j	/home/op98/protein_design/dataset/PP/PP2/1g5j.ent.pdb	11780.84
1g6v	/home/op98/protein_design/dataset/PP/PP2/1g6v.ent.pdb	16387.58
1g9i	/home/op98/protein_design/dataset/PP/PP2/1g9i.ent.pdb	11755.42
1gcq	/home/op98/protein_design/dataset/PP/PP2/1gcq.ent.pdb	10228.99
1gl0	/home/op98/protein_design/dataset/PP/PP2/1gl0.ent.pdb	11257.85
1gl1	/home/op98/protein_design/dataset/PP/PP2/1gl1.ent.pdb	33474.19
1gla	/home/op98/protein_design/dataset/PP/PP2/1gla.ent.pdb	25735.73
1gng	/home/op98/protein_design/dataset/PP/PP2/1gng.ent.pdb	35228.11
1go4	/home/op98/protein_design/dataset/PP/PP2/1go4.ent.pdb	61394.44
1gpw	/home/op98/protein_design/dataset/PP/PP2/1gpw.ent.pdb	56064.80
1grn	/home/op98/protein_design/dataset/PP/PP2/1grn.ent.pdb	18058.80
1gua	/home/op98/protein_design/dataset/PP/PP2/1gua.ent.pdb	12168.26
1gxd	/home/op98/protein_design/dataset/PP/PP2/1gxd.ent.pdb	80085.84
1h0t	/home/op98/protein_design/dataset/PP/PP2/1h0t.ent.pdb	8455.52
1h1v	/home/op98/protein_design/dataset/PP/PP2/1h1v.ent.pdb	35256.46
1h59	/home/op98/protein_design/dataset/PP/PP2/1h59.ent.pdb	6833.39
1hcf	/home/op98/protein_design/dataset/PP/PP2/1hcf.ent.pdb	21895.57
1he8	/home/op98/protein_design/dataset/PP/PP2/1he8.ent.pdb	40860.58
1hez	/home/op98/protein_design/dataset/PP/PP2/1hez.ent.pdb	40043.77
1hia	/home/op98/protein_design/dataset/PP/PP2/1hia.ent.pdb	24321.50
1hqr	/home/op98/protein_design/dataset/PP/PP2/1hqr.ent.pdb	26484.35
1hrt	/home/op98/protein_design/dataset/PP/PP2/1hrt.ent.pdb	17389.40
1hxy	/home/op98/protein_design/dataset/PP/PP2/1hxy.ent.pdb	26216.01
1i2m	/home/op98/protein_design/dataset/PP/PP2/1i2m.ent.pdb	39558.11
1i3o	/home/op98/protein_design/dataset/PP/PP2/1i3o.ent.pdb	30042.42
1i4d	/home/op98/protein_design/dataset/PP/PP2/1i4d.ent.pdb	29127.29
1i4e	/home/op98/protein_design/dataset/PP/PP2/1i4e.ent.pdb	27020.54
1i51	/home/op98/protein_design/dataset/PP/PP2/1i51.ent.pdb	20031.53
1i5k	/home/op98/protein_design/dataset/PP/PP2/1i5k.ent.pdb	13529.25
1i8k	/home/op98/protein_design/dataset/PP/PP2/1i8k.ent.pdb	11027.24
1i8l	/home/op98/protein_design/dataset/PP/PP2/1i8l.ent.pdb	35258.80
1ib1	/home/op98/protein_design/dataset/PP/PP2/1ib1.ent.pdb	67893.95
1ibr	/home/op98/protein_design/dataset/PP/PP2/1ibr.ent.pdb	54584.98
1icf	/home/op98/protein_design/dataset/PP/PP2/1icf.ent.pdb	28854.24
1id5	/home/op98/protein_design/dataset/PP/PP2/1id5.ent.pdb	20670.71
1ihs	/home/op98/protein_design/dataset/PP/PP2/1ihs.ent.pdb	12183.20
1ijk	/home/op98/protein_design/dataset/PP/PP2/1ijk.ent.pdb	19772.63
1iqd	/home/op98/protein_design/dataset/PP/PP2/1iqd.ent.pdb	25097.19
1j2j	/home/op98/protein_design/dataset/PP/PP2/1j2j.ent.pdb	11314.78
1j7d	/home/op98/protein_design/dataset/PP/PP2/1j7d.ent.pdb	15179.94
1j7v	/home/op98/protein_design/dataset/PP/PP2/1j7v.ent.pdb	22357.48
1jgn	/home/op98/protein_design/dataset/PP/PP2/1jgn.ent.pdb	18939.22
1jh4	/home/op98/protein_design/dataset/PP/PP2/1jh4.ent.pdb	26481.27
1jiw	/home/op98/protein_design/dataset/PP/PP2/1jiw.ent.pdb	22928.04
1jmo	/home/op98/protein_design/dataset/PP/PP2/1jmo.ent.pdb	32621.97
1jps	/home/op98/protein_design/dataset/PP/PP2/1jps.ent.pdb	27528.55
1jrh	/home/op98/protein_design/dataset/PP/PP2/1jrh.ent.pdb	22793.84
1jsp	/home/op98/protein_design/dataset/PP/PP2/1jsp.ent.pdb	20528.78
1jtd	/home/op98/protein_design/dataset/PP/PP2/1jtd.ent.pdb	19073.04
1jtg	/home/op98/protein_design/dataset/PP/PP2/1jtg.ent.pdb	32537.97
1jwh	/home/op98/protein_design/dataset/PP/PP2/1jwh.ent.pdb	57680.38
1k2d	/home/op98/protein_design/dataset/PP/PP2/1k2d.ent.pdb	24067.79
1k5d	/home/op98/protein_design/dataset/PP/PP2/1k5d.ent.pdb	116720.56
1k93	/home/op98/protein_design/dataset/PP/PP2/1k93.ent.pdb	93507.07
1kac	/home/op98/protein_design/dataset/PP/PP2/1kac.ent.pdb	13856.47
1kbh	/home/op98/protein_design/dataset/PP/PP2/1kbh.ent.pdb	6815.10
1kgy	/home/op98/protein_design/dataset/PP/PP2/1kgy.ent.pdb	56296.65
1kig	/home/op98/protein_design/dataset/PP/PP2/1kig.ent.pdb	16103.38
1kkl	/home/op98/protein_design/dataset/PP/PP2/1kkl.ent.pdb	35409.13
1ktk	/home/op98/protein_design/dataset/PP/PP2/1ktk.ent.pdb	64229.22
1ktz	/home/op98/protein_design/dataset/PP/PP2/1ktz.ent.pdb	11572.00
1kxp	/home/op98/protein_design/dataset/PP/PP2/1kxp.ent.pdb	33907.75
1kxq	/home/op98/protein_design/dataset/PP/PP2/1kxq.ent.pdb	81884.98
1kxt	/home/op98/protein_design/dataset/PP/PP2/1kxt.ent.pdb	85876.31
1kxv	/home/op98/protein_design/dataset/PP/PP2/1kxv.ent.pdb	43998.76
1l0x	/home/op98/protein_design/dataset/PP/PP2/1l0x.ent.pdb	41498.81
1l2w	/home/op98/protein_design/dataset/PP/PP2/1l2w.ent.pdb	49998.23
1l4d	/home/op98/protein_design/dataset/PP/PP2/1l4d.ent.pdb	18008.14
1l4z	/home/op98/protein_design/dataset/PP/PP2/1l4z.ent.pdb	18021.46
1l8c	/home/op98/protein_design/dataset/PP/PP2/1l8c.ent.pdb	10623.87
1ldt	/home/op98/protein_design/dataset/PP/PP2/1ldt.ent.pdb	11694.20
1lfd	/home/op98/protein_design/dataset/PP/PP2/1lfd.ent.pdb	23906.98
1lj2	/home/op98/protein_design/dataset/PP/PP2/1lj2.ent.pdb	16784.34
1lm8	/home/op98/protein_design/dataset/PP/PP2/1lm8.ent.pdb	22278.16
1lp1	/home/op98/protein_design/dataset/PP/PP2/1lp1.ent.pdb	12433.19
1lqb	/home/op98/protein_design/dataset/PP/PP2/1lqb.ent.pdb	18307.71
1lqs	/home/op98/protein_design/dataset/PP/PP2/1lqs.ent.pdb	34432.13
1lw6	/home/op98/protein_design/dataset/PP/PP2/1lw6.ent.pdb	13988.91
1lx5	/home/op98/protein_design/dataset/PP/PP2/1lx5.ent.pdb	13179.87
1lzw	/home/op98/protein_design/dataset/PP/PP2/1lzw.ent.pdb	12760.89
1m10	/home/op98/protein_design/dataset/PP/PP2/1m10.ent.pdb	20808.95
1m1e	/home/op98/protein_design/dataset/PP/PP2/1m1e.ent.pdb	25536.72
1m5n	/home/op98/protein_design/dataset/PP/PP2/1m5n.ent.pdb	25905.11
1mah	/home/op98/protein_design/dataset/PP/PP2/1mah.ent.pdb	22684.78
1mcv	/home/op98/protein_design/dataset/PP/PP2/1mcv.ent.pdb	12217.30
1mhh	/home/op98/protein_design/dataset/PP/PP2/1mhh.ent.pdb	44198.05
1mi5	/home/op98/protein_design/dataset/PP/PP2/1mi5.ent.pdb	40383.51
1mlc	/home/op98/protein_design/dataset/PP/PP2/1mlc.ent.pdb	48219.09
1mq8	/home/op98/protein_design/dataset/PP/PP2/1mq8.ent.pdb	39884.66
1mtn	/home/op98/protein_design/dataset/PP/PP2/1mtn.ent.pdb	24117.62
1mxe	/home/op98/protein_design/dataset/PP/PP2/1mxe.ent.pdb	18968.08
1mzw	/home/op98/protein_design/dataset/PP/PP2/1mzw.ent.pdb	11428.54
1n64	/home/op98/protein_design/dataset/PP/PP2/1n64.ent.pdb	20984.30
1nb5	/home/op98/protein_design/dataset/PP/PP2/1nb5.ent.pdb	57883.51
1nca	/home/op98/protein_design/dataset/PP/PP2/1nca.ent.pdb	33750.75
1nez	/home/op98/protein_design/dataset/PP/PP2/1nez.ent.pdb	28525.80
1nf3	/home/op98/protein_design/dataset/PP/PP2/1nf3.ent.pdb	33897.44
1nl0	/home/op98/protein_design/dataset/PP/PP2/1nl0.ent.pdb	21694.45
1nm5	/home/op98/protein_design/dataset/PP/PP2/1nm5.ent.pdb	35733.38
1nma	/home/op98/protein_design/dataset/PP/PP2/1nma.ent.pdb	25824.82
1nsn	/home/op98/protein_design/dataset/PP/PP2/1nsn.ent.pdb	26070.76
1nvu	/home/op98/protein_design/dataset/PP/PP2/1nvu.ent.pdb	34921.07
1nw9	/home/op98/protein_design/dataset/PP/PP2/1nw9.ent.pdb	15164.32
1nys	/home/op98/protein_design/dataset/PP/PP2/1nys.ent.pdb	20199.19
1nyu	/home/op98/protein_design/dataset/PP/PP2/1nyu.ent.pdb	19517.89
1o94	/home/op98/protein_design/dataset/PP/PP2/1o94.ent.pdb	69980.46
1o95	/home/op98/protein_design/dataset/PP/PP2/1o95.ent.pdb	78334.72
1o9a	/home/op98/protein_design/dataset/PP/PP2/1o9a.ent.pdb	14785.63
1ob1	/home/op98/protein_design/dataset/PP/PP2/1ob1.ent.pdb	49458.50
1oc0	/home/op98/protein_design/dataset/PP/PP2/1oc0.ent.pdb	17846.59
1oey	/home/op98/protein_design/dataset/PP/PP2/1oey.ent.pdb	41595.49
1ogy	/home/op98/protein_design/dataset/PP/PP2/1ogy.ent.pdb	229036.49
1op9	/home/op98/protein_design/dataset/PP/PP2/1op9.ent.pdb	11857.55
1oph	/home/op98/protein_design/dataset/PP/PP2/1oph.ent.pdb	23779.88
1oqe	/home/op98/protein_design/dataset/PP/PP2/1oqe.ent.pdb	69893.58
1otr	/home/op98/protein_design/dataset/PP/PP2/1otr.ent.pdb	9023.88
1oyh	/home/op98/protein_design/dataset/PP/PP2/1oyh.ent.pdb	35338.27
1oyv	/home/op98/protein_design/dataset/PP/PP2/1oyv.ent.pdb	24192.26
1ozs	/home/op98/protein_design/dataset/PP/PP2/1ozs.ent.pdb	10843.59
1p0s	/home/op98/protein_design/dataset/PP/PP2/1p0s.ent.pdb	25693.39
1p1z	/home/op98/protein_design/dataset/PP/PP2/1p1z.ent.pdb	23708.82
1p22	/home/op98/protein_design/dataset/PP/PP2/1p22.ent.pdb	25165.88
1p27	/home/op98/protein_design/dataset/PP/PP2/1p27.ent.pdb	22256.00
1p2c	/home/op98/protein_design/dataset/PP/PP2/1p2c.ent.pdb	47232.02
1p3q	/home/op98/protein_design/dataset/PP/PP2/1p3q.ent.pdb	13165.39
1p4b	/home/op98/protein_design/dataset/PP/PP2/1p4b.ent.pdb	11127.47
1p4l	/home/op98/protein_design/dataset/PP/PP2/1p4l.ent.pdb	24588.63
1p69	/home/op98/protein_design/dataset/PP/PP2/1p69.ent.pdb	14286.99
1p6a	/home/op98/protein_design/dataset/PP/PP2/1p6a.ent.pdb	14224.19
1p9d	/home/op98/protein_design/dataset/PP/PP2/1p9d.ent.pdb	8989.40
1p9m	/home/op98/protein_design/dataset/PP/PP2/1p9m.ent.pdb	36154.37
1pd7	/home/op98/protein_design/dataset/PP/PP2/1pd7.ent.pdb	11398.05
1pjm	/home/op98/protein_design/dataset/PP/PP2/1pjm.ent.pdb	18940.36
1pjn	/home/op98/protein_design/dataset/PP/PP2/1pjn.ent.pdb	19079.72
1pk1	/home/op98/protein_design/dataset/PP/PP2/1pk1.ent.pdb	15528.28
1ppe	/home/op98/protein_design/dataset/PP/PP2/1ppe.ent.pdb	10125.58
1psb	/home/op98/protein_design/dataset/PP/PP2/1psb.ent.pdb	19072.34
1pvh	/home/op98/protein_design/dataset/PP/PP2/1pvh.ent.pdb	38081.49
1pxv	/home/op98/protein_design/dataset/PP/PP2/1pxv.ent.pdb	27333.34
1q0w	/home/op98/protein_design/dataset/PP/PP2/1q0w.ent.pdb	9256.21
1q5w	/home/op98/protein_design/dataset/PP/PP2/1q5w.ent.pdb	7556.09
1q68	/home/op98/protein_design/dataset/PP/PP2/1q68.ent.pdb	14388.33
1q69	/home/op98/protein_design/dataset/PP/PP2/1q69.ent.pdb	10666.03
1qa9	/home/op98/protein_design/dataset/PP/PP2/1qa9.ent.pdb	23587.25
1qfu	/home/op98/protein_design/dataset/PP/PP2/1qfu.ent.pdb	41651.47
1qfw	/home/op98/protein_design/dataset/PP/PP2/1qfw.ent.pdb	31217.12
1qse	/home/op98/protein_design/dataset/PP/PP2/1qse.ent.pdb	38249.97
1qty	/home/op98/protein_design/dataset/PP/PP2/1qty.ent.pdb	38883.33
1qur	/home/op98/protein_design/dataset/PP/PP2/1qur.ent.pdb	14812.54
1r0r	/home/op98/protein_design/dataset/PP/PP2/1r0r.ent.pdb	12794.38
1r6q	/home/op98/protein_design/dataset/PP/PP2/1r6q.ent.pdb	24666.68
1r8u	/home/op98/protein_design/dataset/PP/PP2/1r8u.ent.pdb	19248.82
1ri8	/home/op98/protein_design/dataset/PP/PP2/1ri8.ent.pdb	11427.03
1rjc	/home/op98/protein_design/dataset/PP/PP2/1rjc.ent.pdb	11423.95
1rkc	/home/op98/protein_design/dataset/PP/PP2/1rkc.ent.pdb	15816.34
1rke	/home/op98/protein_design/dataset/PP/PP2/1rke.ent.pdb	21242.31
1rlb	/home/op98/protein_design/dataset/PP/PP2/1rlb.ent.pdb	38346.21
1rpq	/home/op98/protein_design/dataset/PP/PP2/1rpq.ent.pdb	46224.18
1rv6	/home/op98/protein_design/dataset/PP/PP2/1rv6.ent.pdb	20103.69
1rvj	/home/op98/protein_design/dataset/PP/PP2/1rvj.ent.pdb	29502.79
1ry7	/home/op98/protein_design/dataset/PP/PP2/1ry7.ent.pdb	18510.92
1s1q	/home/op98/protein_design/dataset/PP/PP2/1s1q.ent.pdb	23144.96
1s4y	/home/op98/protein_design/dataset/PP/PP2/1s4y.ent.pdb	22925.01
1sb0	/home/op98/protein_design/dataset/PP/PP2/1sb0.ent.pdb	43085.73
1sbb	/home/op98/protein_design/dataset/PP/PP2/1sbb.ent.pdb	44814.35
1sg1	/home/op98/protein_design/dataset/PP/PP2/1sg1.ent.pdb	27924.03
1shy	/home/op98/protein_design/dataset/PP/PP2/1shy.ent.pdb	33583.47
1shz	/home/op98/protein_design/dataset/PP/PP2/1shz.ent.pdb	48947.34
1smf	/home/op98/protein_design/dataset/PP/PP2/1smf.ent.pdb	9767.44
1sq0	/home/op98/protein_design/dataset/PP/PP2/1sq0.ent.pdb	20152.60
1sv0	/home/op98/protein_design/dataset/PP/PP2/1sv0.ent.pdb	17686.81
1sy6	/home/op98/protein_design/dataset/PP/PP2/1sy6.ent.pdb	28341.80
1syq	/home/op98/protein_design/dataset/PP/PP2/1syq.ent.pdb	16036.09
1t01	/home/op98/protein_design/dataset/PP/PP2/1t01.ent.pdb	17772.78
1t0p	/home/op98/protein_design/dataset/PP/PP2/1t0p.ent.pdb	12391.87
1t44	/home/op98/protein_design/dataset/PP/PP2/1t44.ent.pdb	21188.92
1t5z	/home/op98/protein_design/dataset/PP/PP2/1t5z.ent.pdb	13467.44
1t63	/home/op98/protein_design/dataset/PP/PP2/1t63.ent.pdb	13610.85
1t6b	/home/op98/protein_design/dataset/PP/PP2/1t6b.ent.pdb	37885.42
1ta3	/home/op98/protein_design/dataset/PP/PP2/1ta3.ent.pdb	21103.36
1taw	/home/op98/protein_design/dataset/PP/PP2/1taw.ent.pdb	11438.16
1tba	/home/op98/protein_design/dataset/PP/PP2/1tba.ent.pdb	14609.50
1tbq	/home/op98/protein_design/dataset/PP/PP2/1tbq.ent.pdb	36606.93
1tbr	/home/op98/protein_design/dataset/PP/PP2/1tbr.ent.pdb	35405.97
1tdq	/home/op98/protein_design/dataset/PP/PP2/1tdq.ent.pdb	20701.50
1te1	/home/op98/protein_design/dataset/PP/PP2/1te1.ent.pdb	20737.52
1th1	/home/op98/protein_design/dataset/PP/PP2/1th1.ent.pdb	48068.31
1tlh	/home/op98/protein_design/dataset/PP/PP2/1tlh.ent.pdb	12196.96
1tm1	/home/op98/protein_design/dataset/PP/PP2/1tm1.ent.pdb	14052.29
1tm3	/home/op98/protein_design/dataset/PP/PP2/1tm3.ent.pdb	13790.89
1tm4	/home/op98/protein_design/dataset/PP/PP2/1tm4.ent.pdb	13641.87
1tm5	/home/op98/protein_design/dataset/PP/PP2/1tm5.ent.pdb	13834.91
1tm7	/home/op98/protein_design/dataset/PP/PP2/1tm7.ent.pdb	13862.41
1to1	/home/op98/protein_design/dataset/PP/PP2/1to1.ent.pdb	13816.75
1toc	/home/op98/protein_design/dataset/PP/PP2/1toc.ent.pdb	69762.09
1tt5	/home/op98/protein_design/dataset/PP/PP2/1tt5.ent.pdb	78241.32
1ty4	/home/op98/protein_design/dataset/PP/PP2/1ty4.ent.pdb	18939.61
1tzh	/home/op98/protein_design/dataset/PP/PP2/1tzh.ent.pdb	47378.16
1tzi	/home/op98/protein_design/dataset/PP/PP2/1tzi.ent.pdb	26400.74
1tzn	/home/op98/protein_design/dataset/PP/PP2/1tzn.ent.pdb	437662.59
1u0i	/home/op98/protein_design/dataset/PP/PP2/1u0i.ent.pdb	4818.09
1u0s	/home/op98/protein_design/dataset/PP/PP2/1u0s.ent.pdb	11756.55
1u5s	/home/op98/protein_design/dataset/PP/PP2/1u5s.ent.pdb	9863.50
1u7f	/home/op98/protein_design/dataset/PP/PP2/1u7f.ent.pdb	27759.41
1u7v	/home/op98/protein_design/dataset/PP/PP2/1u7v.ent.pdb	25885.80
1uad	/home/op98/protein_design/dataset/PP/PP2/1uad.ent.pdb	23039.86
1uel	/home/op98/protein_design/dataset/PP/PP2/1uel.ent.pdb	58071.59
1uex	/home/op98/protein_design/dataset/PP/PP2/1uex.ent.pdb	20436.67
1ugh	/home/op98/protein_design/dataset/PP/PP2/1ugh.ent.pdb	13034.73
1ul1	/home/op98/protein_design/dataset/PP/PP2/1ul1.ent.pdb	79139.03
1us7	/home/op98/protein_design/dataset/PP/PP2/1us7.ent.pdb	21980.50
1usu	/home/op98/protein_design/dataset/PP/PP2/1usu.ent.pdb	20085.69
1usv	/home/op98/protein_design/dataset/PP/PP2/1usv.ent.pdb	81300.55
1uug	/home/op98/protein_design/dataset/PP/PP2/1uug.ent.pdb	27130.32
1uuz	/home/op98/protein_design/dataset/PP/PP2/1uuz.ent.pdb	24638.46
1uwx	/home/op98/protein_design/dataset/PP/PP2/1uwx.ent.pdb	47567.50
1v18	/home/op98/protein_design/dataset/PP/PP2/1v18.ent.pdb	23581.85
1v7p	/home/op98/protein_design/dataset/PP/PP2/1v7p.ent.pdb	21162.06
1vet	/home/op98/protein_design/dataset/PP/PP2/1vet.ent.pdb	13708.99
1veu	/home/op98/protein_design/dataset/PP/PP2/1veu.ent.pdb	11319.01
1vfb	/home/op98/protein_design/dataset/PP/PP2/1vfb.ent.pdb	15054.35
1vg0	/home/op98/protein_design/dataset/PP/PP2/1vg0.ent.pdb	27365.98
1vpp	/home/op98/protein_design/dataset/PP/PP2/1vpp.ent.pdb	14568.22
1vrc	/home/op98/protein_design/dataset/PP/PP2/1vrc.ent.pdb	18031.64
1vrk	/home/op98/protein_design/dataset/PP/PP2/1vrk.ent.pdb	10119.82
1vsq	/home/op98/protein_design/dataset/PP/PP2/1vsq.ent.pdb	20099.05
1vyh	/home/op98/protein_design/dataset/PP/PP2/1vyh.ent.pdb	220770.96
1vyt	/home/op98/protein_design/dataset/PP/PP2/1vyt.ent.pdb	31935.46
1w1w	/home/op98/protein_design/dataset/PP/PP2/1w1w.ent.pdb	66891.36
1w72	/home/op98/protein_design/dataset/PP/PP2/1w72.ent.pdb	70845.38
1wa7	/home/op98/protein_design/dataset/PP/PP2/1wa7.ent.pdb	7379.85
1wa8	/home/op98/protein_design/dataset/PP/PP2/1wa8.ent.pdb	17267.28
1wdw	/home/op98/protein_design/dataset/PP/PP2/1wdw.ent.pdb	131986.19
1wej	/home/op98/protein_design/dataset/PP/PP2/1wej.ent.pdb	24032.04
1wlp	/home/op98/protein_design/dataset/PP/PP2/1wlp.ent.pdb	10408.73
1wpx	/home/op98/protein_design/dataset/PP/PP2/1wpx.ent.pdb	23486.47
1wq1	/home/op98/protein_design/dataset/PP/PP2/1wq1.ent.pdb	21407.24
1wqj	/home/op98/protein_design/dataset/PP/PP2/1wqj.ent.pdb	9237.48
